IdProducto|NombreProducto|Proveedor|Categoría|Perecedero
A1|Bollos de Sir Rodney's|"Specialty Biscuits, Ltd."|Repostería|0
A2|Pan de centeno crujiente estilo Gustaf's|PB Knäckebröd AB|Granos/Cereales|0
A3|Pan fino|PB Knäckebröd AB|Granos/Cereales|0
A4|Refresco Guaraná Fantástica|Refrescos Americanas LTDA|Bebidas|1
A5|Crema de chocolate y nueces NuNuCa|Heli Süßwaren GmbH & Co. KG|Repostería|0
A6|Ositos de goma Gumbär|Heli Süßwaren GmbH & Co. KG|Repostería|1
A7|Chocolate Schoggi|Heli Süßwaren GmbH & Co. KG|Repostería|0
A8|Col fermentada Rössle|Plutzer Lebensmittelgroßmärkte AG|Frutas/Verduras|1
A9|Salchicha Thüringer|Plutzer Lebensmittelgroßmärkte AG|Carnes|0
A10|Arenque blanco del noroeste|Nord-Ost-Fisch Handelsgesellschaft mbH|Pescado/Marisco|1
A11|Queso gorgonzola Telino|Formaggi Fortini s.r.l.|Lácteos|1
A12|Queso Mascarpone Fabioli|Formaggi Fortini s.r.l.|Lácteos|0
A13|Queso de cabra|Norske Meierier|Lácteos|1
A14|Cerveza Sasquatch|Bigfoot Breweries|Bebidas|1
A15|Cerveza negra Steeleye|Bigfoot Breweries|Bebidas|1
A16|Escabeche de arenque|Svensk Sjöföda AB|Pescado/Marisco|1
A17|Salmón ahumado Gravad|Svensk Sjöföda AB|Pescado/Marisco|1
A18|Vino Côte de Blaye|Aux joyeux ecclésiastiques|Bebidas|1
A19|Licor verde Chartreuse|Aux joyeux ecclésiastiques|Bebidas|1
A20|Carne de cangrejo de Boston|New England Seafood Cannery|Pescado/Marisco|1
